,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
228,2020-04-06 00:00:00,6.0,3.0,10.0,10.0,9.0,,7.6
719,2020-04-06 00:10:00,5.0,9.0,10.0,7.0,0.0,1.0,6.2
153,2020-04-06 00:15:00,4.0,7.0,5.0,0.0,9.0,,5.0
725,2020-04-06 00:20:00,0.0,7.0,10.0,10.0,1.0,,5.6
181,2020-04-06 00:25:00,3.0,3.0,5.0,4.0,4.0,,3.8
627,2020-04-06 00:25:00,5.0,3.0,9.0,4.0,2.0,,4.6
250,2020-04-06 00:35:00,5.0,9.0,7.0,4.0,2.0,,5.4
662,2020-04-06 00:35:00,10.0,0.0,10.0,8.0,3.0,,6.2
100,2020-04-06 00:40:00,10.0,2.0,10.0,6.0,1.0,,5.8
294,2020-04-06 00:40:00,10.0,2.0,0.0,6.0,5.0,,4.6
658,2020-04-06 00:50:00,0.0,4.0,3.0,10.0,3.0,,4.0
632,2020-04-06 01:00:00,0.0,3.0,5.0,2.0,7.0,0.0,3.4
682,2020-04-06 01:10:00,1.0,3.0,2.0,0.0,3.0,,1.8
283,2020-04-06 01:10:00,0.0,8.0,8.0,10.0,8.0,,6.8
736,2020-04-06 01:15:00,6.0,10.0,3.0,2.0,4.0,,5.0
675,2020-04-06 01:20:00,6.0,4.0,8.0,9.0,10.0,,7.4
262,2020-04-06 01:30:00,5.0,10.0,7.0,6.0,5.0,,6.6
21,2020-04-06 01:40:00,0.0,3.0,0.0,10.0,8.0,,4.2
240,2020-04-06 01:40:00,2.0,6.0,10.0,3.0,3.0,,4.8
282,2020-04-06 01:45:00,3.0,0.0,10.0,6.0,6.0,,5.0
200,2020-04-06 01:45:00,10.0,0.0,5.0,1.0,5.0,,4.2
664,2020-04-06 01:50:00,9.0,5.0,10.0,4.0,9.0,,7.4
146,2020-04-06 01:50:00,9.0,0.0,2.0,3.0,9.0,,4.6
315,2020-04-06 02:10:00,10.0,0.0,2.0,0.0,6.0,,3.6
107,2020-04-06 02:20:00,5.0,1.0,1.0,3.0,2.0,,2.4
444,2020-04-06 02:20:00,2.0,6.0,6.0,10.0,1.0,0.0,5.0
62,2020-04-06 02:25:00,4.0,10.0,10.0,5.0,3.0,,6.4
712,2020-04-06 02:30:00,7.0,0.0,4.0,8.0,3.0,,4.4
643,2020-04-06 02:40:00,10.0,3.0,4.0,10.0,8.0,0.0,7.0
628,2020-04-06 03:00:00,4.0,10.0,3.0,2.0,2.0,,4.2
739,2020-04-06 03:05:00,3.0,10.0,4.0,10.0,2.0,1.0,5.8
825,2020-04-06 03:05:00,7.0,6.0,1.0,8.0,6.0,,5.6
229,2020-04-06 03:35:00,10.0,0.0,5.0,0.0,10.0,,5.0
