,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
214,2020-04-06 00:05:00,6.0,2.0,0.0,7.0,9.0,,4.8
90,2020-04-06 00:10:00,3.0,4.0,3.0,9.0,4.0,,4.6
355,2020-04-06 00:40:00,5.0,1.0,7.0,1.0,8.0,,4.4
184,2020-04-06 00:40:00,0.0,8.0,4.0,7.0,6.0,,5.0
369,2020-04-06 00:50:00,9.0,1.0,2.0,5.0,1.0,,3.6
131,2020-04-06 01:35:00,2.0,3.0,5.0,4.0,10.0,,4.8
360,2020-04-06 01:50:00,9.0,7.0,0.0,5.0,5.0,,5.2
128,2020-04-06 02:50:00,7.0,7.0,5.0,10.0,8.0,,7.4
120,2020-04-06 03:00:00,4.0,2.0,2.0,7.0,1.0,,3.2
165,2020-04-06 03:25:00,10.0,1.0,2.0,10.0,4.0,,5.4
387,2020-04-06 03:40:00,8.0,8.0,2.0,8.0,10.0,,7.2
230,2020-04-06 03:45:00,1.0,5.0,4.0,2.0,10.0,,4.4
255,2020-04-06 03:45:00,7.0,4.0,1.0,1.0,0.0,1.0,2.6
305,2020-04-06 04:15:00,10.0,0.0,8.0,3.0,1.0,,4.4
16,2020-04-06 04:15:00,5.0,10.0,10.0,1.0,7.0,,6.6
366,2020-04-06 04:15:00,5.0,3.0,3.0,9.0,10.0,,6.0
171,2020-04-06 04:45:00,3.0,10.0,10.0,3.0,6.0,,6.4
97,2020-04-06 04:50:00,8.0,10.0,10.0,4.0,2.0,,6.8
428,2020-04-06 05:05:00,0.0,8.0,0.0,7.0,10.0,0.0,5.0
440,2020-04-06 05:15:00,3.0,10.0,10.0,10.0,8.0,1.0,8.2
309,2020-04-06 05:30:00,0.0,10.0,10.0,5.0,2.0,0.0,5.4
386,2020-04-06 05:40:00,9.0,10.0,5.0,8.0,9.0,0.0,8.2
402,2020-04-06 05:45:00,9.0,6.0,3.0,1.0,8.0,,5.4
243,2020-04-06 05:55:00,5.0,7.0,3.0,9.0,3.0,,5.4
437,2020-04-06 06:25:00,9.0,10.0,2.0,4.0,9.0,0.0,6.8
219,2020-04-06 06:30:00,1.0,7.0,3.0,7.0,10.0,,5.6
368,2020-04-06 06:30:00,0.0,3.0,3.0,9.0,1.0,,3.2
422,2020-04-06 06:55:00,10.0,7.0,0.0,3.0,5.0,,5.0
139,2020-04-06 07:00:00,3.0,9.0,7.0,1.0,0.0,1.0,4.0
408,2020-04-06 08:15:00,8.0,5.0,6.0,9.0,6.0,,6.8
145,2020-04-06 08:30:00,6.0,5.0,10.0,0.0,6.0,,5.4
9,2020-04-06 08:45:00,3.0,10.0,10.0,9.0,1.0,,6.6
29,2020-04-06 08:50:00,6.0,1.0,0.0,9.0,1.0,,3.4
36,2020-04-06 09:00:00,0.0,5.0,6.0,10.0,5.0,,5.2
300,2020-04-06 09:05:00,1.0,5.0,10.0,10.0,4.0,1.0,6.0
419,2020-04-06 09:10:00,6.0,10.0,8.0,4.0,9.0,,7.4
0,2020-04-06 09:50:00,1.0,7.0,10.0,4.0,10.0,,6.4
6,2020-04-06 10:15:00,9.0,4.0,10.0,9.0,2.0,,6.8
61,2020-04-06 11:00:00,10.0,0.0,1.0,2.0,2.0,,3.0
231,2020-04-06 11:30:00,8.0,9.0,10.0,10.0,4.0,,8.2
291,2020-04-06 11:35:00,2.0,0.0,3.0,2.0,7.0,,2.8
28,2020-04-06 12:10:00,6.0,1.0,4.0,6.0,9.0,,5.2
20,2020-04-06 12:15:00,5.0,1.0,10.0,5.0,4.0,,5.0
391,2020-04-06 12:20:00,2.0,1.0,6.0,1.0,0.0,,2.0
117,2020-04-06 12:50:00,0.0,10.0,10.0,10.0,10.0,,8.0
357,2020-04-06 12:55:00,5.0,6.0,10.0,0.0,1.0,,4.4
268,2020-04-06 13:20:00,2.0,9.0,2.0,10.0,10.0,,6.6
143,2020-04-06 13:20:00,10.0,10.0,6.0,10.0,6.0,,8.4
264,2020-04-06 14:05:00,10.0,8.0,7.0,2.0,0.0,,5.4
158,2020-04-06 14:25:00,2.0,5.0,6.0,10.0,7.0,,6.0
121,2020-04-06 14:35:00,10.0,8.0,9.0,3.0,6.0,,7.2
444,2020-04-06 14:40:00,-0.0,2.0,0.0,0.0,1.0,-0.0,0.6
179,2020-04-06 14:40:00,1.0,0.0,6.0,5.0,5.0,1.0,3.4
442,2020-04-06 14:50:00,-0.0,3.0,0.0,-0.0,1.0,0.0,0.8
446,2020-04-06 14:55:00,0.0,1.0,1.0,1.0,2.0,1.0,1.0
459,2020-04-06 15:00:00,0.0,2.0,0.0,0.0,2.0,0.0,0.8
449,2020-04-06 15:00:00,1.0,1.0,1.0,-0.0,0.0,-0.0,0.6
144,2020-04-06 15:05:00,2.0,1.0,2.0,0.0,7.0,,2.4
409,2020-04-06 15:15:00,3.0,4.0,8.0,4.0,7.0,,5.2
453,2020-04-06 15:20:00,0.0,1.0,0.0,0.0,0.0,1.0,0.2
445,2020-04-06 15:30:00,0.0,2.0,0.0,1.0,0.0,0.0,0.6
373,2020-04-06 15:35:00,10.0,1.0,0.0,5.0,1.0,,3.4
452,2020-04-06 15:40:00,0.0,3.0,-0.0,1.0,1.0,0.0,1.0
443,2020-04-06 15:50:00,-0.0,2.0,0.0,1.0,1.0,0.0,0.8
509,2020-04-06 16:00:00,0.0,3.0,0.0,-0.0,2.0,0.0,1.0
10,2020-04-06 16:00:00,0.0,9.0,1.0,9.0,0.0,,3.8
450,2020-04-06 16:00:00,0.0,3.0,-0.0,1.0,0.0,-0.0,0.8
463,2020-04-06 16:00:00,1.0,1.0,-0.0,0.0,1.0,-0.0,0.6
538,2020-04-06 16:00:00,0.0,3.0,1.0,1.0,0.0,0.0,1.0
398,2020-04-06 16:00:00,5.0,7.0,2.0,10.0,0.0,,4.8
536,2020-04-06 16:00:00,-0.0,2.0,0.0,-0.0,1.0,0.0,0.6
492,2020-04-06 16:00:00,0.0,3.0,1.0,0.0,1.0,0.0,1.0
517,2020-04-06 16:00:00,1.0,2.0,0.0,1.0,0.0,1.0,0.8
462,2020-04-06 16:00:00,1.0,2.0,0.0,0.0,1.0,1.0,0.8
486,2020-04-06 16:05:00,-0.0,1.0,-0.0,2.0,1.0,0.0,0.8
513,2020-04-06 16:05:00,0.0,3.0,2.0,1.0,0.0,0.0,1.2
480,2020-04-06 16:05:00,1.0,1.0,0.0,0.0,2.0,0.0,0.8
458,2020-04-06 16:05:00,1.0,1.0,-0.0,0.0,2.0,0.0,0.8
496,2020-04-06 16:05:00,1.0,2.0,1.0,0.0,1.0,0.0,1.0
511,2020-04-06 16:05:00,0.0,3.0,0.0,0.0,1.0,1.0,0.8
515,2020-04-06 16:10:00,0.0,1.0,1.0,-0.0,0.0,0.0,0.4
521,2020-04-06 16:10:00,0.0,2.0,0.0,-0.0,1.0,-0.0,0.6
525,2020-04-06 16:10:00,1.0,1.0,0.0,0.0,-0.0,0.0,0.4
467,2020-04-06 16:15:00,-0.0,2.0,1.0,1.0,2.0,-0.0,1.2
527,2020-04-06 16:15:00,0.0,3.0,0.0,0.0,2.0,0.0,1.0
518,2020-04-06 16:15:00,0.0,2.0,0.0,0.0,1.0,1.0,0.6
530,2020-04-06 16:15:00,0.0,3.0,-0.0,0.0,1.0,0.0,0.8
491,2020-04-06 16:15:00,1.0,2.0,-0.0,1.0,0.0,0.0,0.8
508,2020-04-06 16:15:00,0.0,2.0,2.0,0.0,2.0,0.0,1.2
542,2020-04-06 16:15:00,-0.0,1.0,0.0,0.0,1.0,0.0,0.4
114,2020-04-06 16:20:00,4.0,6.0,5.0,2.0,8.0,,5.0
497,2020-04-06 16:20:00,0.0,1.0,0.0,0.0,1.0,1.0,0.4
510,2020-04-06 16:20:00,0.0,2.0,0.0,-0.0,2.0,0.0,0.8
465,2020-04-06 16:25:00,0.0,2.0,0.0,1.0,1.0,0.0,0.8
540,2020-04-06 16:25:00,0.0,1.0,1.0,0.0,0.0,-0.0,0.4
464,2020-04-06 16:25:00,-0.0,2.0,0.0,-0.0,1.0,1.0,0.6
514,2020-04-06 16:25:00,0.0,3.0,2.0,0.0,1.0,-0.0,1.2
523,2020-04-06 16:25:00,-0.0,3.0,1.0,0.0,2.0,0.0,1.2
535,2020-04-06 16:25:00,1.0,3.0,0.0,0.0,1.0,-0.0,1.0
461,2020-04-06 16:30:00,0.0,3.0,1.0,-0.0,2.0,1.0,1.2
471,2020-04-06 16:30:00,1.0,2.0,0.0,0.0,0.0,-0.0,0.6
472,2020-04-06 16:30:00,1.0,1.0,-0.0,1.0,1.0,-0.0,0.8
537,2020-04-06 16:30:00,0.0,3.0,0.0,-0.0,1.0,1.0,0.8
448,2020-04-06 16:35:00,0.0,2.0,0.0,0.0,1.0,-0.0,0.6
493,2020-04-06 16:35:00,1.0,2.0,0.0,0.0,-0.0,-0.0,0.6
455,2020-04-06 16:40:00,2.0,2.0,0.0,0.0,1.0,0.0,1.0
539,2020-04-06 16:40:00,0.0,2.0,0.0,0.0,1.0,0.0,0.6
488,2020-04-06 16:45:00,-0.0,1.0,0.0,0.0,1.0,1.0,0.4
502,2020-04-06 16:45:00,0.0,1.0,0.0,0.0,1.0,0.0,0.4
468,2020-04-06 16:45:00,1.0,2.0,-0.0,0.0,2.0,1.0,1.0
534,2020-04-06 16:50:00,1.0,2.0,1.0,1.0,2.0,1.0,1.4
466,2020-04-06 16:55:00,1.0,2.0,0.0,-0.0,2.0,-0.0,1.0
470,2020-04-06 16:55:00,-0.0,2.0,0.0,0.0,1.0,1.0,0.6
503,2020-04-06 16:55:00,0.0,1.0,-0.0,1.0,-0.0,0.0,0.4
498,2020-04-06 17:00:00,1.0,1.0,1.0,1.0,2.0,0.0,1.2
519,2020-04-06 17:00:00,1.0,2.0,0.0,1.0,1.0,1.0,1.0
490,2020-04-06 17:00:00,0.0,2.0,0.0,1.0,1.0,0.0,0.8
476,2020-04-06 17:00:00,1.0,1.0,0.0,0.0,1.0,0.0,0.6
484,2020-04-06 17:05:00,0.0,3.0,0.0,0.0,1.0,0.0,0.8
299,2020-04-06 17:05:00,8.0,0.0,3.0,10.0,1.0,,4.4
522,2020-04-06 17:05:00,0.0,1.0,0.0,0.0,1.0,1.0,0.4
483,2020-04-06 17:05:00,0.0,3.0,0.0,-0.0,0.0,0.0,0.6
504,2020-04-06 17:05:00,0.0,2.0,-0.0,1.0,1.0,0.0,0.8
