,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
920,2020-04-06 00:35:00,8.0,9.0,1.0,6.0,7.0,,6.2
717,2020-04-06 00:45:00,4.0,4.0,8.0,2.0,5.0,,4.6
751,2020-04-06 00:50:00,7.0,0.0,9.0,3.0,9.0,,5.6
521,2020-04-06 01:00:00,10.0,4.0,4.0,1.0,1.0,,4.0
89,2020-04-06 01:00:00,7.0,10.0,4.0,8.0,7.0,,7.2
415,2020-04-06 01:05:00,7.0,9.0,10.0,0.0,1.0,,5.4
174,2020-04-06 01:10:00,1.0,6.0,4.0,10.0,6.0,,5.4
390,2020-04-06 01:15:00,8.0,9.0,1.0,3.0,1.0,,4.4
366,2020-04-06 01:20:00,0.0,7.0,2.0,2.0,4.0,,3.0
345,2020-04-06 01:25:00,6.0,2.0,7.0,3.0,8.0,,5.2
256,2020-04-06 01:50:00,4.0,1.0,6.0,7.0,10.0,,5.6
721,2020-04-06 01:55:00,1.0,0.0,3.0,4.0,1.0,,1.8
830,2020-04-06 01:55:00,0.0,9.0,10.0,5.0,10.0,,6.8
206,2020-04-06 01:55:00,10.0,7.0,8.0,3.0,10.0,,7.6
18,2020-04-06 01:55:00,10.0,2.0,1.0,9.0,9.0,,6.2
669,2020-04-06 02:05:00,9.0,10.0,5.0,10.0,1.0,,7.0
301,2020-04-06 02:20:00,10.0,10.0,0.0,2.0,10.0,,6.4
517,2020-04-06 02:30:00,10.0,1.0,4.0,3.0,8.0,,5.2
817,2020-04-06 02:35:00,10.0,8.0,4.0,5.0,0.0,,5.4
46,2020-04-06 02:35:00,0.0,8.0,10.0,10.0,9.0,,7.4
575,2020-04-06 02:40:00,10.0,10.0,5.0,1.0,8.0,,6.8
386,2020-04-06 02:50:00,5.0,8.0,9.0,8.0,10.0,,8.0
981,2020-04-06 02:50:00,3.0,6.0,10.0,5.0,4.0,,5.6
887,2020-04-06 02:55:00,10.0,4.0,0.0,3.0,3.0,,4.0
957,2020-04-06 02:55:00,4.0,10.0,7.0,0.0,9.0,,6.0
