,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
11,2020-04-06 05:45:00,,3.0,1.0,,,,
2,2020-04-06 07:00:00,,4.0,9.0,,,,
8,2020-04-06 09:30:00,,9.0,4.0,,,,
4,2020-04-06 13:20:00,,4.0,8.0,,,,
5,2020-04-06 14:25:00,,5.0,5.0,,,1.0,
9,2020-04-06 16:30:00,,3.0,3.0,,,,
3,2020-04-07 10:35:00,,0.0,8.0,,,,
46,2020-04-08 08:35:00,,8.0,6.0,,,6.0,
115,2020-04-08 08:40:00,,9.0,6.0,,,5.0,
52,2020-04-08 08:40:00,,9.0,7.0,,,5.0,
131,2020-04-08 08:45:00,,8.0,5.0,,,5.0,
71,2020-04-08 08:45:00,,8.0,6.0,,,5.0,
149,2020-04-08 08:45:00,,7.0,6.0,,,6.0,
122,2020-04-08 08:45:00,,7.0,7.0,,,5.0,
86,2020-04-08 08:50:00,,8.0,6.0,,,4.0,
84,2020-04-08 08:50:00,,7.0,5.0,,,6.0,
67,2020-04-08 08:50:00,,9.0,7.0,,,4.0,
97,2020-04-08 08:50:00,,7.0,5.0,,,4.0,
110,2020-04-08 08:55:00,,10.0,6.0,,,6.0,
58,2020-04-08 08:55:00,,9.0,6.0,,,3.0,
119,2020-04-08 08:55:00,,8.0,7.0,,,5.0,
93,2020-04-08 09:00:00,,9.0,7.0,,,5.0,
148,2020-04-08 09:00:00,,8.0,5.0,,,5.0,
40,2020-04-08 09:00:00,,8.0,6.0,,,5.0,
127,2020-04-08 09:00:00,,10.0,6.0,,,7.0,
95,2020-04-08 09:00:00,,8.0,6.0,,,4.0,
139,2020-04-08 09:05:00,,9.0,7.0,,,4.0,
12,2020-04-08 09:05:00,,8.0,6.0,,,4.0,
25,2020-04-08 09:05:00,,10.0,6.0,,,5.0,
123,2020-04-08 09:05:00,,8.0,6.0,,,6.0,
28,2020-04-08 09:10:00,,8.0,6.0,,7.0,5.0,
29,2020-04-08 09:10:00,,8.0,6.0,,,4.0,
78,2020-04-08 09:10:00,,8.0,7.0,,,5.0,
76,2020-04-08 09:15:00,,9.0,6.0,,,6.0,
27,2020-04-08 09:15:00,,9.0,6.0,,,4.0,
30,2020-04-08 09:15:00,,8.0,7.0,,,6.0,
135,2020-04-08 09:15:00,,8.0,7.0,,,5.0,
143,2020-04-08 09:15:00,,8.0,6.0,,,3.0,
147,2020-04-08 09:20:00,,9.0,6.0,,,5.0,
136,2020-04-08 09:20:00,,8.0,6.0,,,6.0,
108,2020-04-08 09:20:00,7.0,7.0,5.0,,,5.0,
49,2020-04-08 09:20:00,,8.0,6.0,,,6.0,
17,2020-04-08 09:20:00,,8.0,6.0,,,6.0,
126,2020-04-08 09:20:00,,8.0,5.0,,,5.0,
103,2020-04-08 09:20:00,,8.0,6.0,,,4.0,
26,2020-04-08 09:25:00,,9.0,6.0,,,6.0,
62,2020-04-08 09:25:00,,9.0,6.0,,,5.0,
34,2020-04-08 09:25:00,,7.0,6.0,,,6.0,
37,2020-04-08 09:25:00,,8.0,6.0,,,5.0,
100,2020-04-08 09:25:00,,7.0,5.0,,,5.0,
96,2020-04-08 09:25:00,,8.0,6.0,,,5.0,
75,2020-04-08 09:25:00,,8.0,6.0,,,4.0,
32,2020-04-08 09:25:00,,7.0,5.0,,,5.0,
130,2020-04-08 09:25:00,,8.0,6.0,,,5.0,
73,2020-04-08 09:25:00,,8.0,5.0,,,4.0,
44,2020-04-08 09:25:00,,8.0,5.0,,,4.0,
18,2020-04-08 09:25:00,,8.0,6.0,,,6.0,
42,2020-04-08 09:25:00,,9.0,6.0,,,4.0,
140,2020-04-08 09:30:00,,7.0,7.0,,,5.0,
69,2020-04-08 09:30:00,,7.0,6.0,,,4.0,
113,2020-04-08 09:30:00,,8.0,6.0,,,5.0,
15,2020-04-08 09:30:00,,7.0,5.0,,8.0,6.0,
55,2020-04-08 09:30:00,10.0,9.0,6.0,,,5.0,
19,2020-04-08 09:30:00,,8.0,6.0,,,5.0,
83,2020-04-08 09:35:00,,7.0,6.0,,,4.0,
35,2020-04-08 09:35:00,,8.0,5.0,,,5.0,
48,2020-04-08 09:35:00,,8.0,7.0,,,6.0,
60,2020-04-08 09:35:00,,7.0,6.0,,,5.0,
94,2020-04-08 09:35:00,,7.0,6.0,,,5.0,
142,2020-04-08 09:40:00,,8.0,7.0,,,5.0,
133,2020-04-08 09:40:00,,9.0,7.0,,,6.0,
81,2020-04-08 09:45:00,,8.0,7.0,,,5.0,
80,2020-04-08 09:45:00,,7.0,6.0,,,6.0,
23,2020-04-08 09:45:00,,7.0,6.0,,,5.0,
54,2020-04-08 09:45:00,,7.0,6.0,,,5.0,
132,2020-04-08 09:45:00,,7.0,7.0,,,5.0,
98,2020-04-08 09:45:00,,9.0,6.0,,,6.0,
102,2020-04-08 09:50:00,,8.0,6.0,,,5.0,
68,2020-04-08 09:50:00,,9.0,5.0,,,5.0,
138,2020-04-08 09:50:00,,7.0,5.0,,,4.0,
36,2020-04-08 09:50:00,,9.0,6.0,,,6.0,
117,2020-04-08 09:55:00,,7.0,6.0,,,5.0,
89,2020-04-08 10:00:00,,8.0,6.0,,,5.0,
59,2020-04-08 10:00:00,,8.0,6.0,,,4.0,
120,2020-04-08 10:00:00,,8.0,6.0,,,5.0,
121,2020-04-08 10:00:00,,8.0,6.0,,,5.0,
22,2020-04-08 10:05:00,,7.0,7.0,,,4.0,
24,2020-04-08 10:05:00,,8.0,6.0,,,4.0,
129,2020-04-08 10:05:00,,8.0,6.0,,,6.0,
114,2020-04-08 10:05:00,,8.0,7.0,,,6.0,
63,2020-04-08 10:05:00,,8.0,5.0,,,5.0,
116,2020-04-08 10:10:00,,8.0,5.0,,,5.0,
125,2020-04-08 10:10:00,,7.0,6.0,,,5.0,
64,2020-04-08 10:10:00,,8.0,7.0,,,5.0,
61,2020-04-08 10:15:00,,8.0,5.0,,,5.0,
128,2020-04-08 10:15:00,,8.0,6.0,,,5.0,
65,2020-04-08 10:15:00,,7.0,5.0,,,5.0,
101,2020-04-08 10:15:00,,9.0,6.0,,,5.0,
105,2020-04-08 10:20:00,,9.0,5.0,,,6.0,
118,2020-04-08 10:20:00,,8.0,6.0,,,5.0,
57,2020-04-08 10:25:00,,7.0,6.0,,,5.0,
106,2020-04-08 10:30:00,,8.0,6.0,,,5.0,
112,2020-04-08 10:30:00,,9.0,7.0,,,4.0,
70,2020-04-08 10:30:00,,7.0,6.0,,,6.0,
39,2020-04-08 10:30:00,,7.0,6.0,,,5.0,
47,2020-04-08 10:30:00,,9.0,6.0,,,5.0,
45,2020-04-08 10:35:00,,8.0,6.0,,,5.0,
82,2020-04-08 10:35:00,,8.0,4.0,,,5.0,
50,2020-04-08 10:40:00,,8.0,5.0,,,4.0,
51,2020-04-08 10:45:00,,8.0,6.0,,,5.0,
104,2020-04-08 10:45:00,,8.0,6.0,,,4.0,
92,2020-04-08 10:45:00,,8.0,6.0,,,5.0,
31,2020-04-08 10:50:00,,8.0,5.0,,,4.0,
88,2020-04-08 10:55:00,,8.0,7.0,,,4.0,
74,2020-04-08 10:55:00,,7.0,7.0,,,6.0,
137,2020-04-08 10:55:00,,8.0,5.0,,,6.0,
20,2020-04-08 11:05:00,,8.0,7.0,,,5.0,
154,2020-04-08 11:05:00,,7.0,7.0,,,-0.0,
38,2020-04-08 11:10:00,,8.0,5.0,,,5.0,
111,2020-04-08 11:10:00,,8.0,5.0,,2.0,5.0,
77,2020-04-08 11:10:00,,9.0,6.0,,,4.0,
155,2020-04-08 11:10:00,,8.0,6.0,,,0.0,
66,2020-04-08 11:10:00,,8.0,5.0,,,6.0,
53,2020-04-08 11:15:00,,8.0,6.0,,,5.0,
150,2020-04-08 11:15:00,,8.0,6.0,,,-0.0,
91,2020-04-08 11:15:00,,8.0,6.0,,,5.0,
14,2020-04-08 11:20:00,,7.0,6.0,,,6.0,
153,2020-04-08 11:20:00,,8.0,7.0,,,-0.0,
87,2020-04-08 11:25:00,,7.0,5.0,,,5.0,
13,2020-04-08 11:30:00,,8.0,6.0,,,5.0,
107,2020-04-08 11:30:00,,8.0,6.0,,,5.0,
146,2020-04-08 11:30:00,,8.0,7.0,,,5.0,
141,2020-04-08 11:35:00,,8.0,8.0,,,5.0,
109,2020-04-08 11:35:00,,8.0,6.0,,,6.0,
145,2020-04-08 11:35:00,,9.0,5.0,,,6.0,
99,2020-04-08 11:40:00,,8.0,6.0,,,5.0,
56,2020-04-08 11:40:00,,8.0,8.0,,,6.0,
144,2020-04-08 11:50:00,,8.0,5.0,,,5.0,
21,2020-04-08 11:50:00,,9.0,6.0,,,5.0,
41,2020-04-08 11:50:00,,9.0,6.0,,,6.0,
