,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
59,2020-04-06 00:05:00,4.0,3.0,8.0,,10.0,,
103,2020-04-06 00:10:00,8.0,10.0,1.0,,3.0,1.0,
132,2020-04-06 00:30:00,9.0,10.0,6.0,,0.0,1.0,
4,2020-04-06 00:40:00,4.0,5.0,7.0,,3.0,1.0,
383,2020-04-06 00:50:00,9.0,0.0,9.0,,9.0,1.0,
332,2020-04-06 00:55:00,6.0,2.0,2.0,0.0,1.0,,2.2
122,2020-04-06 01:30:00,8.0,7.0,1.0,,2.0,,
84,2020-04-06 01:50:00,8.0,7.0,3.0,,8.0,,
452,2020-04-06 02:00:00,10.0,2.0,9.0,,1.0,,
57,2020-04-06 02:25:00,9.0,6.0,9.0,,0.0,,
101,2020-04-06 02:30:00,5.0,6.0,2.0,,10.0,,
120,2020-04-06 02:35:00,8.0,10.0,6.0,,1.0,,
114,2020-04-06 02:45:00,7.0,4.0,2.0,,8.0,,
361,2020-04-06 03:00:00,2.0,10.0,10.0,,7.0,,
170,2020-04-06 03:40:00,0.0,4.0,1.0,,1.0,,
113,2020-04-06 04:00:00,5.0,10.0,8.0,,6.0,,
157,2020-04-06 04:20:00,0.0,0.0,5.0,,7.0,,
198,2020-04-06 04:40:00,2.0,4.0,4.0,,5.0,,
215,2020-04-06 05:00:00,1.0,4.0,4.0,,5.0,,
319,2020-04-06 05:35:00,4.0,4.0,6.0,,10.0,,
149,2020-04-06 06:00:00,4.0,0.0,1.0,,8.0,,
159,2020-04-06 06:00:00,9.0,7.0,3.0,,5.0,,
307,2020-04-06 06:10:00,7.0,10.0,7.0,,10.0,0.0,
156,2020-04-06 06:15:00,6.0,3.0,10.0,,5.0,,
148,2020-04-06 06:55:00,10.0,1.0,9.0,,3.0,0.0,
138,2020-04-06 07:10:00,4.0,4.0,9.0,,6.0,,
377,2020-04-06 07:10:00,4.0,3.0,6.0,,10.0,,
374,2020-04-06 07:10:00,6.0,10.0,1.0,,8.0,,
392,2020-04-06 07:30:00,6.0,6.0,3.0,,10.0,,
38,2020-04-06 07:30:00,4.0,7.0,5.0,,6.0,,
240,2020-04-06 07:30:00,10.0,4.0,2.0,,8.0,,
364,2020-04-06 07:50:00,6.0,9.0,0.0,,10.0,1.0,
282,2020-04-06 07:55:00,1.0,9.0,0.0,,5.0,,
451,2020-04-06 07:55:00,3.0,10.0,7.0,,5.0,,
437,2020-04-06 07:55:00,10.0,8.0,1.0,,4.0,0.0,
210,2020-04-06 08:45:00,9.0,1.0,8.0,,9.0,,
431,2020-04-06 08:50:00,8.0,3.0,8.0,,1.0,,
246,2020-04-06 09:00:00,2.0,3.0,3.0,,0.0,,
436,2020-04-06 09:15:00,4.0,6.0,10.0,,2.0,,
327,2020-04-06 09:15:00,10.0,10.0,6.0,,1.0,1.0,
272,2020-04-06 10:15:00,9.0,3.0,2.0,,1.0,,
66,2020-04-06 11:00:00,6.0,7.0,3.0,,7.0,,
389,2020-04-06 11:10:00,10.0,3.0,1.0,,6.0,,
60,2020-04-06 11:20:00,3.0,10.0,3.0,,2.0,,
264,2020-04-06 11:20:00,9.0,0.0,9.0,,7.0,,
295,2020-04-06 11:35:00,10.0,9.0,0.0,,3.0,,
287,2020-04-06 12:30:00,6.0,5.0,0.0,,0.0,,
140,2020-04-06 12:50:00,3.0,7.0,1.0,,1.0,,
82,2020-04-06 13:10:00,3.0,3.0,3.0,,10.0,,
18,2020-04-06 13:20:00,7.0,4.0,2.0,,10.0,,
