,time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,median
425,2020-04-06 00:20:00,7.0,5.0,4.0,3.0,9.0,,5.6
356,2020-04-06 01:10:00,10.0,2.0,9.0,10.0,6.0,,7.4
375,2020-04-06 01:10:00,10.0,6.0,1.0,6.0,8.0,,6.2
358,2020-04-06 02:40:00,10.0,10.0,10.0,0.0,9.0,,7.8
44,2020-04-06 02:55:00,10.0,0.0,3.0,10.0,10.0,,6.6
426,2020-04-06 03:35:00,10.0,8.0,1.0,10.0,9.0,,7.6
161,2020-04-06 03:40:00,4.0,2.0,2.0,3.0,2.0,1.0,2.6
406,2020-04-06 04:10:00,4.0,5.0,7.0,3.0,8.0,,5.4
131,2020-04-06 05:10:00,9.0,6.0,4.0,4.0,5.0,,5.6
372,2020-04-06 05:15:00,8.0,10.0,6.0,4.0,8.0,1.0,7.2
210,2020-04-06 05:40:00,7.0,4.0,10.0,8.0,10.0,,7.8
31,2020-04-06 05:40:00,0.0,7.0,10.0,6.0,1.0,,4.8
236,2020-04-06 05:55:00,0.0,10.0,3.0,10.0,0.0,,4.6
299,2020-04-06 06:05:00,9.0,9.0,5.0,10.0,4.0,,7.4
91,2020-04-06 06:10:00,5.0,0.0,1.0,10.0,3.0,,3.8
62,2020-04-06 06:20:00,6.0,3.0,3.0,7.0,8.0,,5.4
417,2020-04-06 06:25:00,0.0,0.0,7.0,7.0,10.0,,4.8
337,2020-04-06 06:30:00,10.0,0.0,3.0,9.0,0.0,,4.4
56,2020-04-06 06:45:00,7.0,2.0,3.0,4.0,4.0,,4.0
252,2020-04-06 07:20:00,3.0,4.0,10.0,9.0,0.0,,5.2
84,2020-04-06 07:35:00,8.0,10.0,1.0,1.0,10.0,,6.0
465,2020-04-06 07:45:00,0.0,10.0,1.0,2.0,10.0,,4.6
301,2020-04-06 07:55:00,2.0,6.0,7.0,6.0,8.0,,5.8
434,2020-04-06 08:15:00,10.0,6.0,1.0,10.0,2.0,,5.8
477,2020-04-06 08:25:00,1.0,0.0,10.0,10.0,4.0,,5.0
345,2020-04-06 09:35:00,0.0,5.0,0.0,9.0,10.0,,4.8
93,2020-04-06 09:40:00,0.0,6.0,2.0,6.0,2.0,,3.2
85,2020-04-06 10:00:00,5.0,2.0,1.0,5.0,8.0,,4.2
381,2020-04-06 10:05:00,8.0,6.0,1.0,0.0,5.0,,4.0
285,2020-04-06 10:15:00,4.0,0.0,7.0,5.0,4.0,,4.0
3,2020-04-06 10:20:00,8.0,8.0,2.0,8.0,10.0,,7.2
264,2020-04-06 10:20:00,2.0,10.0,9.0,2.0,10.0,,6.6
325,2020-04-06 10:25:00,6.0,1.0,2.0,9.0,0.0,,3.6
2,2020-04-06 10:25:00,10.0,0.0,1.0,7.0,5.0,,4.6
34,2020-04-06 10:30:00,4.0,2.0,5.0,2.0,4.0,,3.4
373,2020-04-06 10:45:00,8.0,0.0,10.0,5.0,4.0,,5.4
413,2020-04-06 11:00:00,7.0,1.0,4.0,7.0,2.0,,4.2
49,2020-04-06 11:15:00,7.0,10.0,4.0,7.0,3.0,,6.2
111,2020-04-06 11:25:00,8.0,3.0,1.0,5.0,9.0,1.0,5.2
144,2020-04-06 11:45:00,0.0,1.0,5.0,9.0,3.0,,3.6
355,2020-04-06 11:55:00,0.0,10.0,6.0,0.0,0.0,,3.2
349,2020-04-06 12:25:00,0.0,4.0,2.0,3.0,4.0,,2.6
254,2020-04-06 12:30:00,9.0,5.0,5.0,9.0,0.0,,5.6
265,2020-04-06 13:00:00,8.0,10.0,8.0,2.0,0.0,,5.6
42,2020-04-06 13:00:00,0.0,4.0,10.0,1.0,3.0,,3.6
467,2020-04-06 13:05:00,9.0,3.0,0.0,3.0,10.0,,5.0
306,2020-04-06 13:20:00,10.0,2.0,9.0,10.0,5.0,,7.2
300,2020-04-06 13:25:00,3.0,1.0,3.0,10.0,1.0,,3.6
215,2020-04-06 14:00:00,8.0,5.0,8.0,3.0,7.0,,6.2
321,2020-04-06 14:05:00,9.0,1.0,3.0,2.0,0.0,0.0,3.0
368,2020-04-06 14:15:00,8.0,2.0,0.0,9.0,7.0,0.0,5.2
451,2020-04-06 14:15:00,10.0,0.0,7.0,2.0,2.0,,4.2
96,2020-04-06 14:25:00,6.0,1.0,0.0,4.0,8.0,,3.8
483,2020-04-06 14:40:00,0.0,0.0,2.0,1.0,0.0,1.0,0.6
401,2020-04-06 14:55:00,2.0,2.0,10.0,10.0,3.0,,5.4
